x,y,z,yaw,velocity,change_flag
56.1144,1.8099,1.6031,-3.1085,14.4352,0
55.0118,1.7814,1.5591,-3.1075,13.5991,0
53.9056,1.7109,1.5376,-3.1096,13.7655,0
52.8456,1.6982,1.3747,-3.1125,13.9173,0
51.7575,1.6193,1.5396,-3.1148,13.5804,0
50.6633,1.5887,1.4368,-3.1162,13.3455,0
49.5821,1.5784,1.3716,-3.1173,12.5283,0
48.4420,1.5203,1.3797,-3.1194,14.2214,0
47.2932,1.4979,1.3439,-3.1198,14.2740,0
46.1259,1.4509,1.2898,-3.1215,13.9134,0
44.9323,1.4214,1.2475,-3.1221,14.0734,0
43.7375,1.3656,1.2435,-3.1219,14.0435,0
42.5279,1.3259,1.2022,-3.1182,14.9803,0
41.3359,1.2835,1.1944,-3.1154,13.7880,0
40.1085,1.2013,1.1830,-3.1094,14.8625,0
38.9427,1.1739,1.1098,-3.1007,14.0998,0
37.7610,1.0784,1.0941,-3.0940,14.0262,0
36.5889,1.0000,1.0541,-3.0910,13.0799,0
35.4396,0.9564,0.9377,-3.0934,13.7402,0
34.2290,0.8809,0.9373,-3.0960,14.5331,0
33.0835,0.8387,0.8722,-3.0979,13.3008,0
31.9449,0.7653,0.8335,-3.1031,13.5415,0
30.7609,0.7247,0.7649,-3.1054,14.3793,0
29.6296,0.6418,0.7581,-3.1104,13.7156,0
28.4990,0.5980,0.7827,-3.1167,12.9199,0
27.3717,0.4572,0.8302,-3.1280,13.2481,0
26.3713,0.5398,0.7594,-3.1286,13.0274,0
25.3198,0.4792,0.7422,-3.1309,12.6469,0
24.2745,0.4318,0.7391,-3.1314,12.6011,0
23.2736,0.4275,0.7236,-3.1341,11.9663,0
21.9673,0.4247,0.6516,-3.1348,11.9203,0
20.6642,0.4015,0.6125,-3.1391,10.9395,0
19.3871,0.4066,0.5366,3.1413,11.9119,0
18.1206,0.3903,0.5244,3.1389,11.0995,0
16.8685,0.3517,0.5200,3.1328,11.2269,0
15.6665,0.3746,0.4739,3.1277,11.1567,0
14.4939,0.3754,0.4670,3.1181,11.6476,0
13.3572,0.4225,0.4348,3.0986,9.9140,0
12.2141,0.4510,0.3783,3.0815,10.4424,0
11.1293,0.5173,0.3243,3.0642,9.6091,0
10.1046,0.6089,0.3108,3.0510,8.8279,0
8.8931,0.6800,0.2721,3.0528,8.5076,0
7.8306,0.7486,0.2301,3.0646,6.7298,0
