PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
244,0,0,0,0.82,-1.79,0,0,0,0
245,0,0,0,-0.18,-1.74,0,0,0,0
246,0,0,0,-1.18,-1.69,0,0,0,0
247,0,0,0,-2.18,-1.65,0,0,0,0
248,0,0,0,-3.18,-1.6,0,0,0,0
249,0,0,0,-4.18,-1.55,0,0,0,0
250,0,0,0,-5.18,-1.5,0,0,0,0
251,0,0,0,-6.17,-1.45,0,0,0,0
252,0,0,0,-7.17,-1.41,0,0,0,0
253,0,0,0,-8.17,-1.36,0,0,0,0
254,0,0,0,-9.17,-1.31,0,0,0,0
255,0,0,0,-10.17,-1.26,0,0,0,0
256,0,0,0,-11.17,-1.21,0,0,0,0
257,0,0,0,-12.17,-1.16,0,0,0,0
258,0,0,0,-13.17,-1.12,0,0,0,0
259,0,0,0,-14.17,-1.07,0,0,0,0
260,0,0,0,-15.16,-1.02,0,0,0,0
261,0,0,0,-16.16,-0.97,0,0,0,0
262,0,0,0,-17.16,-0.92,0,0,0,0
263,0,0,0,-18.16,-0.88,0,0,0,0
264,0,0,0,-19.16,-0.83,0,0,0,0
265,0,0,0,-20.16,-0.78,0,0,0,0
266,0,0,0,-21.16,-0.73,0,0,0,0
267,0,0,0,-22.16,-0.68,0,0,0,0
268,0,0,0,-23.16,-0.64,0,0,0,0
269,0,0,0,-24.15,-0.59,0,0,0,0
270,0,0,0,-25.15,-0.54,0,0,0,0
271,0,0,0,-26.15,-0.49,0,0,0,0
272,0,0,0,-27.15,-0.44,0,0,0,0
273,0,0,0,-28.15,-0.4,0,0,0,0
274,0,0,0,-29.15,-0.35,0,0,0,0
275,0,0,0,-30.15,-0.3,0,0,0,0
276,0,0,0,-31.15,-0.25,0,0,0,0
277,0,0,0,-32.14,-0.2,0,0,0,0
278,0,0,0,-32.36,-0.19,0,0,0,0
279,0,0,0,-33.36,-0.16,0,0,0,0
280,0,0,0,-34.36,-0.1,0,0,0,0
281,0,0,0,-35.36,0,0,0,0,0
282,0,0,0,-36.36,-0.05,0,0,0,0
283,0,0,0,-37.36,-0.06,0,0,0,0
284,0,0,0,-38.36,-0.03,0,0,0,0
285,0,0,0,-39.35,0.06,0,0,0,0
286,0,0,0,-40.34,0.21,0,0,0,0
287,0,0,0,-41.32,0.42,0,0,0,0
288,0,0,0,-42.28,0.71,0,0,0,0
289,0,0,0,-43.21,1.07,0,0,0,0
