DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
216,49.35,219,0,0,0,0,0,0,0
217,50.35,220,0,0,0,0,0,0,0
218,51.35,221,0,0,0,0,0,0,0
219,52.35,222,0,0,0,0,0,0,0
220,53.35,223,0,0,0,0,0,0,0
221,54.35,224,0,0,0,0,0,0,0
222,55.35,225,0,0,0,0,0,0,0
223,56.35,226,0,0,0,0,0,0,0
224,57.35,227,0,0,0,0,0,0,0
225,58.35,228,0,0,0,0,0,0,0
226,59.35,229,0,0,0,0,0,0,0
227,60.35,230,0,0,0,0,0,0,0
228,61.35,231,0,0,0,0,0,0,0
229,62.35,232,0,0,0,0,0,0,0
230,63.35,233,0,0,0,0,0,0,0
231,64.35,234,0,0,0,0,0,0,0
232,65.35,235,0,0,0,0,0,0,0
233,66.35,236,0,0,0,0,0,0,0
234,67.35,237,0,0,0,0,0,0,0
235,68.35,238,0,0,0,0,0,0,0
236,69.35,239,0,0,0,0,0,0,0
237,70.35,240,0,0,0,0,0,0,0
238,71.35,241,0,0,0,0,0,0,0
239,72.35,242,0,0,0,0,0,0,0
240,73.35,243,0,0,0,0,0,0,0
241,74.35,244,0,0,0,0,0,0,0
242,75.35,245,0,0,0,0,0,0,0
243,76.35,246,0,0,0,0,0,0,0
244,77.35,247,0,0,0,0,0,0,0
245,78.35,248,0,0,0,0,0,0,0
246,79.35,249,0,0,0,0,0,0,0
247,80.35,250,0,0,0,0,0,0,0
248,81.35,251,0,0,0,0,0,0,0
249,82.35,252,0,0,0,0,0,0,0
250,83.35,253,0,0,0,0,0,0,0
251,84.35,254,0,0,0,0,0,0,0
252,85.35,255,0,0,0,0,0,0,0
253,86.35,256,0,0,0,0,0,0,0
254,87.35,257,0,0,0,0,0,0,0
255,88.35,258,0,0,0,0,0,0,0
256,89.35,259,0,0,0,0,0,0,0
257,90.35,260,0,0,0,0,0,0,0
258,91.35,261,0,0,0,0,0,0,0
259,92.35,262,0,0,0,0,0,0,0
260,93.35,263,0,0,0,0,0,0,0
261,94.35,264,0,0,0,0,0,0,0
262,95.35,265,0,0,0,0,0,0,0
263,96.35,266,0,0,0,0,0,0,0
264,97.35,267,0,0,0,0,0,0,0
265,98.35,268,0,0,0,0,0,0,0
266,99.35,269,0,0,0,0,0,0,0
267,100.35,270,0,0,0,0,0,0,0
268,101.35,271,0,0,0,0,0,0,0
269,102.35,272,0,0,0,0,0,0,0
270,103.35,273,0,0,0,0,0,0,0
271,104.35,274,0,0,0,0,0,0,0
272,105.35,275,0,0,0,0,0,0,0
273,106.35,276,0,0,0,0,0,0,0
274,107.35,277,0,0,0,0,0,0,0
275,107.57,278,0,0,0,0,0,0,0
276,108.57,279,0,0,0,0,0,0,0
277,109.57,280,0,0,0,0,0,0,0
278,110.57,281,0,0,0,0,0,0,0
279,111.57,282,0,0,0,0,0,0,0
280,112.57,283,0,0,0,0,0,0,0
281,113.57,284,0,0,0,0,0,0,0
282,114.57,285,0,0,0,0,0,0,0
283,115.57,286,0,0,0,0,0,0,0
284,116.57,287,0,0,0,0,0,0,0
285,117.57,288,0,0,0,0,0,0,0
286,118.57,289,0,0,0,0,0,0,0
